target,model,seed,size,rmse,mae,r2,best_params,file
BACE1,randomforest,2137,10,1.2498,1.037,-0.1023,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.001796.txt
BACE1,randomforest,2137,20,1.1087,0.8928,0.1325,"{'max_depth': 5, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.003592.txt
BACE1,randomforest,2137,50,1.0686,0.8578,0.1941,"{'max_depth': 5, 'n_estimators': 500}",regression_randomforest_seed-2137_size-0.00898.txt
BACE1,randomforest,2137,100,1.0211,0.8166,0.2642,"{'max_depth': None, 'n_estimators': 500}",regression_randomforest_seed-2137_size-0.01796.txt
BACE1,randomforest,2137,500,0.9659,0.7619,0.3416,"{'max_depth': 20, 'n_estimators': 500}",regression_randomforest_seed-2137_size-0.089799.txt
BACE1,svm,42,10,1.2588,1.0545,-0.1383,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.001796.txt
BACE1,svm,42,20,1.1315,0.9318,0.0803,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.003592.txt
BACE1,svm,42,50,1.0267,0.8163,0.2427,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.00898.txt
BACE1,svm,42,100,1.0422,0.8083,0.2197,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.01796.txt
BACE1,svm,42,500,0.9565,0.7277,0.3428,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.089799.txt
BACE1,svm,123,10,1.2132,0.9841,-0.0115,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.001796.txt
BACE1,svm,123,20,1.193,0.9707,0.0218,"{'C': 0.1, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.003592.txt
BACE1,svm,123,50,1.1566,0.8955,0.0806,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.00898.txt
BACE1,svm,123,100,1.0778,0.8621,0.2015,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.01796.txt
BACE1,svm,123,500,0.9539,0.7479,0.3746,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.089799.txt
BACE1,svm,2137,10,1.1828,0.953,0.0127,"{'C': 100, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.001796.txt
BACE1,svm,2137,20,1.1338,0.9092,0.0928,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.003592.txt
BACE1,svm,2137,50,1.0618,0.8547,0.2044,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.00898.txt
BACE1,svm,2137,100,1.003,0.7899,0.29,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.01796.txt
BACE1,svm,2137,500,0.9321,0.7321,0.3868,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.089799.txt
BACE1,xgboost,42,10,1.3133,1.092,-0.239,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.001796.txt
