target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
BACE1,xgboost,42,10,0.6726,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.001796.txt
BACE1,xgboost,42,20,0.6496,0.4245,0.1977,0.2697,0.6359,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",classification_xgboost_seed-42_size-0.003592.txt
BACE1,xgboost,42,50,0.6841,0.5314,0.2972,0.3812,0.7045,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-42_size-0.00898.txt
BACE1,xgboost,42,100,0.7037,0.5727,0.3748,0.4531,0.7239,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300}",classification_xgboost_seed-42_size-0.01796.txt
BACE1,xgboost,42,500,0.756,0.6475,0.5593,0.6002,0.7933,"{'learning_rate': 0.05, 'max_depth': 7, 'n_estimators': 300}",classification_xgboost_seed-42_size-0.089799.txt
BACE1,xgboost,123,10,0.6708,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-123_size-0.001796.txt
BACE1,xgboost,123,20,0.598,0.366,0.3021,0.331,0.5492,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500}",classification_xgboost_seed-123_size-0.003592.txt
BACE1,xgboost,123,50,0.623,0.4224,0.3957,0.4086,0.6127,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-123_size-0.00898.txt
BACE1,xgboost,123,100,0.6771,0.5141,0.3451,0.413,0.6464,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 500}",classification_xgboost_seed-123_size-0.01796.txt
BACE1,xgboost,123,500,0.7287,0.5916,0.5676,0.5794,0.771,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500}",classification_xgboost_seed-123_size-0.089799.txt
BACE1,xgboost,2137,10,0.6647,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-2137_size-0.001796.txt
BACE1,xgboost,2137,20,0.6506,0.4463,0.1742,0.2506,0.5909,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",classification_xgboost_seed-2137_size-0.003592.txt
BACE1,xgboost,2137,50,0.682,0.5491,0.2887,0.3784,0.6502,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-2137_size-0.00898.txt
BACE1,xgboost,2137,100,0.7258,0.6128,0.4952,0.5477,0.7396,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 500}",classification_xgboost_seed-2137_size-0.01796.txt
BACE1,xgboost,2137,500,0.7701,0.6916,0.5677,0.6236,0.8085,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500}",classification_xgboost_seed-2137_size-0.089799.txt
TYK2,mlp,42,10,0.6495,0.7523,0.5554,0.639,0.7064,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.001676.txt
TYK2,mlp,42,20,0.6139,0.6217,0.7886,0.6953,0.7287,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.003351.txt
TYK2,mlp,42,50,0.686,0.7476,0.6611,0.7017,0.7741,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-42_size-0.008378.txt
TYK2,mlp,42,100,0.7844,0.8327,0.7685,0.7993,0.873,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-42_size-0.016756.txt
TYK2,mlp,42,500,0.8182,0.8577,0.8087,0.8325,0.889,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.08378.txt
TYK2,mlp,123,10,0.706,0.7412,0.6907,0.7151,0.7891,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.001676.txt
TYK2,mlp,123,20,0.6834,0.6716,0.797,0.729,0.7868,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.003351.txt
TYK2,mlp,123,50,0.6769,0.6799,0.7466,0.7117,0.7752,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.008378.txt
TYK2,mlp,123,100,0.77,0.7879,0.7793,0.7836,0.8144,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.016756.txt
TYK2,mlp,123,500,0.8304,0.8362,0.8488,0.8425,0.9164,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.08378.txt
TYK2,mlp,2137,10,0.5,0.4564,0.7174,0.5579,0.5981,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-2137_size-0.001676.txt
TYK2,mlp,2137,20,0.6692,0.6022,0.7304,0.6601,0.7808,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.003351.txt
TYK2,mlp,2137,50,0.6998,0.6377,0.7348,0.6828,0.7719,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-2137_size-0.008378.txt
TYK2,mlp,2137,100,0.7409,0.6721,0.8022,0.7314,0.8583,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",classification_mlp_seed-2137_size-0.016756.txt
TYK2,mlp,2137,500,0.8365,0.819,0.8065,0.8127,0.9015,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.08378.txt
TYK2,randomforest,42,10,0.6157,0.7943,0.4211,0.5504,0.7342,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.001676.txt
TYK2,randomforest,42,20,0.6542,0.661,0.7819,0.7164,0.743,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.003351.txt
