target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,xgboost,123,500,0.6985,0.6051,0.4826,0.537,0.7376,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-123_size-0.1428.txt
A2a,xgboost,2137,10,0.671,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-2137_size-0.0028.txt
A2a,xgboost,2137,20,0.6725,1.0,0.0046,0.0092,0.6273,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_filtered_seed-2137_size-0.0055.txt
A2a,xgboost,2137,50,0.6513,0.4635,0.3802,0.4177,0.6349,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-2137_size-0.0138.txt
A2a,xgboost,2137,100,0.6588,0.4752,0.3525,0.4048,0.6317,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}",xgboost_gnn_filtered_seed-2137_size-0.0275.txt
A2a,xgboost,2137,500,0.7756,0.7006,0.5553,0.6195,0.8044,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 300}",xgboost_gnn_filtered_seed-2137_size-0.1376.txt
BACE1,mlp,42,10,0.5968,0.3979,0.451,0.4228,0.6032,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-42_size-0.001796.txt
BACE1,mlp,42,20,0.4722,0.3612,0.7965,0.497,0.616,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.003592.txt
BACE1,mlp,42,50,0.6692,0.4955,0.5681,0.5293,0.7013,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.00898.txt
BACE1,mlp,42,100,0.4664,0.3749,0.9429,0.5364,0.6722,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.01796.txt
BACE1,mlp,42,500,0.6764,0.5043,0.6911,0.5831,0.7413,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-42_size-0.089799.txt
BACE1,mlp,123,10,0.6675,0.4718,0.0847,0.1436,0.5279,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.001796.txt
BACE1,mlp,123,20,0.5368,0.3562,0.5044,0.4176,0.5493,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.003592.txt
BACE1,mlp,123,50,0.3292,0.3292,1.0,0.4953,0.6094,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.00898.txt
BACE1,mlp,123,100,0.3292,0.3292,1.0,0.4953,0.616,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.01796.txt
BACE1,mlp,123,500,0.6509,0.4799,0.7244,0.5773,0.7076,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",classification_mlp_seed-123_size-0.089799.txt
BACE1,mlp,2137,10,0.5868,0.412,0.5435,0.4687,0.5884,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-2137_size-0.001796.txt
BACE1,mlp,2137,20,0.6506,0.4723,0.3581,0.4073,0.6161,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.0001}",classification_mlp_seed-2137_size-0.003592.txt
BACE1,mlp,2137,50,0.6771,0.5239,0.4065,0.4578,0.655,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.00898.txt
BACE1,mlp,2137,100,0.709,0.569,0.5452,0.5568,0.7136,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.01796.txt
BACE1,mlp,2137,500,0.6961,0.5393,0.6419,0.5862,0.7247,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",classification_mlp_seed-2137_size-0.089799.txt
BACE1,randomforest,42,10,0.6731,0.5333,0.0117,0.0229,0.5176,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.001796.txt
BACE1,randomforest,42,20,0.6745,0.5169,0.0893,0.1523,0.5516,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-42_size-0.003592.txt
BACE1,randomforest,42,50,0.6922,0.6475,0.1318,0.219,0.7049,"{'max_depth': 5, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.00898.txt
BACE1,randomforest,42,100,0.7119,0.6971,0.2123,0.3255,0.7312,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-42_size-0.01796.txt
BACE1,randomforest,42,500,0.7507,0.69,0.4334,0.5324,0.758,"{'max_depth': 10, 'n_estimators': 100}",classification_randomforest_seed-42_size-0.089799.txt
BACE1,randomforest,123,10,0.6575,0.2949,0.0291,0.0529,0.5794,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.001796.txt
BACE1,randomforest,123,20,0.6146,0.412,0.3995,0.4056,0.6191,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.003592.txt
BACE1,randomforest,123,50,0.6721,0.503,0.3161,0.3882,0.6833,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-123_size-0.00898.txt
BACE1,randomforest,123,100,0.6804,0.5485,0.1643,0.2529,0.6885,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.01796.txt
BACE1,randomforest,123,500,0.7145,0.6259,0.33,0.4321,0.757,"{'max_depth': 10, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.089799.txt
BACE1,randomforest,2137,10,0.6647,0.5,0.0032,0.0064,0.6062,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-2137_size-0.001796.txt
BACE1,randomforest,2137,20,0.669,0.5085,0.3839,0.4375,0.6623,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.003592.txt
BACE1,randomforest,2137,50,0.6917,0.7155,0.1339,0.2255,0.6251,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.00898.txt
BACE1,randomforest,2137,100,0.7112,0.6443,0.3097,0.4183,0.7295,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.01796.txt
BACE1,randomforest,2137,500,0.7409,0.7143,0.379,0.4953,0.7772,"{'max_depth': 10, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.089799.txt
BACE1,svm,42,10,0.6759,0.5104,0.2504,0.336,0.3911,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-42_size-0.001796.txt
BACE1,svm,42,20,0.663,0.4784,0.325,0.3871,0.3755,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.003592.txt
BACE1,svm,42,50,0.6596,0.4821,0.5315,0.5056,0.6909,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-42_size-0.00898.txt
BACE1,svm,42,100,0.71,0.5635,0.5066,0.5335,0.745,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.01796.txt
BACE1,svm,42,500,0.7196,0.5694,0.5886,0.5788,0.7611,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.089799.txt
BACE1,svm,123,10,0.6117,0.3463,0.2023,0.2554,0.4327,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.001796.txt
BACE1,svm,123,20,0.6163,0.4074,0.3641,0.3845,0.5894,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.003592.txt
BACE1,svm,123,50,0.6022,0.4053,0.4463,0.4248,0.5879,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.00898.txt
BACE1,svm,123,100,0.6613,0.4838,0.4336,0.4573,0.6431,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.01796.txt
BACE1,svm,123,500,0.705,0.5526,0.5449,0.5487,0.7431,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.089799.txt
BACE1,svm,2137,10,0.6809,0.554,0.2484,0.343,0.6482,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-2137_size-0.001796.txt
BACE1,svm,2137,20,0.6604,0.4928,0.4403,0.4651,0.6777,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-2137_size-0.003592.txt
BACE1,svm,2137,50,0.689,0.5506,0.3952,0.4601,0.6725,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-2137_size-0.00898.txt
BACE1,svm,2137,100,0.7036,0.5583,0.5565,0.5574,0.737,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-2137_size-0.01796.txt
BACE1,svm,2137,500,0.7128,0.5745,0.5532,0.5637,0.7486,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-2137_size-0.089799.txt
BACE1,xgboost,42,10,0.6726,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.001796.txt
BACE1,xgboost,42,20,0.5973,0.3282,0.2196,0.2632,0.5134,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.003592.txt
BACE1,xgboost,42,50,0.6424,0.4388,0.3309,0.3773,0.6384,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-42_size-0.00898.txt
BACE1,xgboost,42,100,0.7263,0.6489,0.3572,0.4608,0.7372,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 300}",classification_xgboost_seed-42_size-0.01796.txt
BACE1,xgboost,42,500,0.7488,0.6556,0.4905,0.5611,0.7862,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500}",classification_xgboost_seed-42_size-0.089799.txt
BACE1,xgboost,123,10,0.6708,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-123_size-0.001796.txt
BACE1,xgboost,123,20,0.6242,0.4233,0.3906,0.4063,0.5983,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-123_size-0.003592.txt
BACE1,xgboost,123,50,0.65,0.4599,0.3628,0.4057,0.6439,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",classification_xgboost_seed-123_size-0.00898.txt
BACE1,xgboost,123,100,0.6696,0.4965,0.2718,0.3513,0.6297,"{'learning_rate': 0.1, 'max_depth': 7, 'n_estimators': 100}",classification_xgboost_seed-123_size-0.01796.txt
BACE1,xgboost,123,500,0.7145,0.5785,0.4893,0.5301,0.7626,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-123_size-0.089799.txt
BACE1,xgboost,2137,10,0.6647,0.0,0.0,0.0,0.5,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",classification_xgboost_seed-2137_size-0.001796.txt
BACE1,xgboost,2137,20,0.6625,0.4952,0.3323,0.3977,0.6294,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-2137_size-0.003592.txt
BACE1,xgboost,2137,50,0.6939,0.6007,0.2597,0.3626,0.6502,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-2137_size-0.00898.txt
BACE1,xgboost,2137,100,0.6993,0.5711,0.4145,0.4804,0.7061,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 300}",classification_xgboost_seed-2137_size-0.01796.txt
BACE1,xgboost,2137,500,0.7399,0.6514,0.4823,0.5542,0.7747,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 500}",classification_xgboost_seed-2137_size-0.089799.txt
