target,model,seed,size,accuracy,precision,recall,f1,roc_auc,best_params,file
A2a,xgboost,2137,500,0.7528,0.6357,0.5829,0.6082,0.7759,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",xgboost_gnn_small_seed-2137_size-0.1376.txt
BACE1,mlp,42,10,0.6122,0.4425,0.7101,0.5453,0.6721,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.001796.txt
BACE1,mlp,42,20,0.6016,0.4385,0.7731,0.5596,0.7074,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.003592.txt
BACE1,mlp,42,50,0.5973,0.4387,0.8228,0.5723,0.7185,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.00898.txt
BACE1,mlp,42,100,0.6965,0.5398,0.4963,0.5172,0.7167,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}",classification_mlp_seed-42_size-0.01796.txt
BACE1,mlp,42,500,0.7157,0.5503,0.7204,0.624,0.78,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.01}",classification_mlp_seed-42_size-0.089799.txt
BACE1,mlp,123,10,0.64,0.4636,0.5954,0.5213,0.6853,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.001796.txt
BACE1,mlp,123,20,0.6167,0.4446,0.6599,0.5313,0.6789,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.003592.txt
BACE1,mlp,123,50,0.6754,0.5066,0.5348,0.5203,0.6985,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.00898.txt
BACE1,mlp,123,100,0.67,0.4988,0.5158,0.5071,0.6862,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",classification_mlp_seed-123_size-0.01796.txt
BACE1,mlp,123,500,0.6692,0.4983,0.7206,0.5891,0.751,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-123_size-0.089799.txt
BACE1,mlp,2137,10,0.702,0.5896,0.3661,0.4517,0.6887,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.001796.txt
BACE1,mlp,2137,20,0.5495,0.4166,0.8581,0.5609,0.7463,"{'hidden_layer_sizes': (128, 64), 'learning_rate_init': 0.01}",classification_mlp_seed-2137_size-0.003592.txt
BACE1,mlp,2137,50,0.6928,0.5607,0.3871,0.458,0.7044,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",classification_mlp_seed-2137_size-0.00898.txt
BACE1,mlp,2137,100,0.7458,0.6465,0.5339,0.5848,0.7655,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.01}",classification_mlp_seed-2137_size-0.01796.txt
BACE1,mlp,2137,500,0.7166,0.5571,0.7548,0.6411,0.7785,"{'hidden_layer_sizes': (256, 128), 'learning_rate_init': 0.001}",classification_mlp_seed-2137_size-0.089799.txt
BACE1,randomforest,42,10,0.6989,0.6687,0.1596,0.2577,0.6246,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.001796.txt
BACE1,randomforest,42,20,0.6942,0.5578,0.3177,0.4049,0.6366,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.003592.txt
BACE1,randomforest,42,50,0.7138,0.6937,0.2255,0.3403,0.7401,"{'max_depth': 5, 'n_estimators': 500}",classification_randomforest_seed-42_size-0.00898.txt
BACE1,randomforest,42,100,0.7224,0.6444,0.3397,0.4449,0.7426,"{'max_depth': 5, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.01796.txt
BACE1,randomforest,42,500,0.7478,0.6524,0.4919,0.5609,0.7982,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-42_size-0.089799.txt
BACE1,randomforest,123,10,0.6725,1.0,0.0051,0.0101,0.6366,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.001796.txt
BACE1,randomforest,123,20,0.6371,0.4603,0.5942,0.5188,0.683,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-123_size-0.003592.txt
BACE1,randomforest,123,50,0.7041,0.5885,0.3363,0.428,0.722,"{'max_depth': 5, 'n_estimators': 500}",classification_randomforest_seed-123_size-0.00898.txt
BACE1,randomforest,123,100,0.7025,0.5833,0.3363,0.4266,0.7006,"{'max_depth': 10, 'n_estimators': 500}",classification_randomforest_seed-123_size-0.01796.txt
BACE1,randomforest,123,500,0.7295,0.6396,0.4083,0.4985,0.7824,"{'max_depth': None, 'n_estimators': 300}",classification_randomforest_seed-123_size-0.089799.txt
BACE1,randomforest,2137,10,0.6879,0.687,0.1274,0.215,0.7423,"{'max_depth': None, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.001796.txt
BACE1,randomforest,2137,20,0.7231,0.6317,0.4177,0.5029,0.7538,"{'max_depth': None, 'n_estimators': 100}",classification_randomforest_seed-2137_size-0.003592.txt
BACE1,randomforest,2137,50,0.7204,0.7441,0.2532,0.3779,0.7809,"{'max_depth': 5, 'n_estimators': 100}",classification_randomforest_seed-2137_size-0.00898.txt
BACE1,randomforest,2137,100,0.7317,0.6582,0.4161,0.5099,0.7776,"{'max_depth': 5, 'n_estimators': 100}",classification_randomforest_seed-2137_size-0.01796.txt
BACE1,randomforest,2137,500,0.775,0.7417,0.5048,0.6008,0.8288,"{'max_depth': 20, 'n_estimators': 500}",classification_randomforest_seed-2137_size-0.089799.txt
BACE1,svm,42,10,0.6946,0.539,0.4656,0.4996,0.6977,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-42_size-0.001796.txt
BACE1,svm,42,20,0.6683,0.4939,0.5373,0.5147,0.7012,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-42_size-0.003592.txt
BACE1,svm,42,50,0.7291,0.6097,0.4802,0.5373,0.7703,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.00898.txt
BACE1,svm,42,100,0.7085,0.5594,0.5168,0.5373,0.7552,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-42_size-0.01796.txt
BACE1,svm,42,500,0.743,0.6219,0.549,0.5832,0.7988,"{'C': 10, 'kernel': 'rbf'}",classification_svm_seed-42_size-0.089799.txt
BACE1,svm,123,10,0.6933,0.5458,0.4071,0.4663,0.3673,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-123_size-0.001796.txt
BACE1,svm,123,20,0.6463,0.4725,0.6397,0.5435,0.6941,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-123_size-0.003592.txt
BACE1,svm,123,50,0.6504,0.4741,0.5676,0.5167,0.6909,"{'C': 100, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.00898.txt
BACE1,svm,123,100,0.6866,0.5276,0.4589,0.4909,0.6863,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-123_size-0.01796.txt
BACE1,svm,123,500,0.7536,0.6552,0.531,0.5866,0.7942,"{'C': 10, 'kernel': 'rbf'}",classification_svm_seed-123_size-0.089799.txt
BACE1,svm,2137,10,0.715,0.6253,0.3742,0.4682,0.7594,"{'C': 0.01, 'kernel': 'linear'}",classification_svm_seed-2137_size-0.001796.txt
