target,model,seed,size,rmse,mae,r2,best_params,file
BACE1,svm,2137,10,1.2634,1.0429,-0.1265,"{'C': 0.01, 'kernel': 'linear'}",regression_svm_seed-2137_size-0.001796.txt
BACE1,svm,2137,20,1.1095,0.9007,0.1312,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.003592.txt
BACE1,svm,2137,50,1.0336,0.822,0.2461,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.00898.txt
BACE1,svm,2137,100,0.9605,0.7556,0.3489,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.01796.txt
BACE1,svm,2137,500,0.8584,0.669,0.48,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.089799.txt
BACE1,xgboost,42,10,1.1377,0.9097,0.0702,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.001796.txt
BACE1,xgboost,42,20,1.0879,0.867,0.1498,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.003592.txt
BACE1,xgboost,42,50,1.1245,0.9083,0.0917,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.00898.txt
BACE1,xgboost,42,100,1.0274,0.8152,0.2418,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-42_size-0.01796.txt
BACE1,xgboost,42,500,0.9133,0.6974,0.4008,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 500}",regression_xgboost_seed-42_size-0.089799.txt
BACE1,xgboost,123,10,1.2446,1.0364,-0.0647,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.001796.txt
BACE1,xgboost,123,20,1.2606,1.0216,-0.0922,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.003592.txt
BACE1,xgboost,123,50,1.1877,0.9471,0.0304,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-123_size-0.00898.txt
BACE1,xgboost,123,100,1.1245,0.8832,0.131,"{'learning_rate': 0.01, 'max_depth': 9, 'n_estimators': 300}",regression_xgboost_seed-123_size-0.01796.txt
BACE1,xgboost,123,500,0.9819,0.7625,0.3373,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300}",regression_xgboost_seed-123_size-0.089799.txt
BACE1,xgboost,2137,10,1.3331,1.0974,-0.2542,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",regression_xgboost_seed-2137_size-0.001796.txt
BACE1,xgboost,2137,20,1.2468,1.0048,-0.097,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 100}",regression_xgboost_seed-2137_size-0.003592.txt
BACE1,xgboost,2137,50,1.0792,0.8553,0.178,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",regression_xgboost_seed-2137_size-0.00898.txt
BACE1,xgboost,2137,100,1.018,0.7939,0.2687,"{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300}",regression_xgboost_seed-2137_size-0.01796.txt
BACE1,xgboost,2137,500,0.9056,0.7038,0.4212,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 300}",regression_xgboost_seed-2137_size-0.089799.txt
TYK2,mlp,42,10,2.2539,1.9568,-2.3652,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.001676.txt
TYK2,mlp,42,20,1.553,1.2346,-0.5977,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.003351.txt
TYK2,mlp,42,50,1.3305,1.0794,-0.1726,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-42_size-0.008378.txt
TYK2,mlp,42,100,1.2669,1.0007,-0.0632,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",regression_mlp_seed-42_size-0.016756.txt
TYK2,mlp,42,500,1.0268,0.8007,0.3016,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",regression_mlp_seed-42_size-0.08378.txt
TYK2,mlp,123,10,2.2721,1.8642,-2.47,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.001676.txt
TYK2,mlp,123,20,1.4097,1.1225,-0.3357,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.003351.txt
TYK2,mlp,123,50,1.2684,0.9958,-0.0814,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.008378.txt
TYK2,mlp,123,100,1.2458,0.9979,-0.0432,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-123_size-0.016756.txt
TYK2,mlp,123,500,1.0013,0.7622,0.3261,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",regression_mlp_seed-123_size-0.08378.txt
TYK2,mlp,2137,10,1.9916,1.6659,-1.7226,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.001676.txt
TYK2,mlp,2137,20,1.5506,1.2573,-0.6503,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.003351.txt
TYK2,mlp,2137,50,1.3107,1.0212,-0.1792,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.001}",regression_mlp_seed-2137_size-0.008378.txt
TYK2,mlp,2137,100,1.2019,0.9428,0.0085,"{'hidden_layer_sizes': (256,), 'learning_rate_init': 0.0001}",regression_mlp_seed-2137_size-0.016756.txt
TYK2,mlp,2137,500,1.029,0.8106,0.2732,"{'hidden_layer_sizes': (128,), 'learning_rate_init': 0.0001}",regression_mlp_seed-2137_size-0.08378.txt
TYK2,randomforest,42,10,1.1652,0.9829,0.1007,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.001676.txt
TYK2,randomforest,42,20,1.084,0.8751,0.2217,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.003351.txt
TYK2,randomforest,42,50,1.0658,0.8291,0.2476,"{'max_depth': 10, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.008378.txt
TYK2,randomforest,42,100,0.9524,0.7453,0.3991,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.016756.txt
TYK2,randomforest,42,500,0.8734,0.6512,0.4947,"{'max_depth': 10, 'n_estimators': 300}",regression_randomforest_seed-42_size-0.08378.txt
TYK2,randomforest,123,10,1.2759,1.0073,-0.0943,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.001676.txt
TYK2,randomforest,123,20,1.1384,0.9247,0.1289,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.003351.txt
TYK2,randomforest,123,50,1.0632,0.8463,0.2402,"{'max_depth': 10, 'n_estimators': 100}",regression_randomforest_seed-123_size-0.008378.txt
TYK2,randomforest,123,100,1.035,0.8121,0.2799,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-123_size-0.016756.txt
TYK2,randomforest,123,500,0.8051,0.5802,0.5643,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-123_size-0.08378.txt
TYK2,randomforest,2137,10,1.38,1.1617,-0.307,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.001676.txt
TYK2,randomforest,2137,20,0.9701,0.767,0.3541,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.003351.txt
TYK2,randomforest,2137,50,1.0738,0.8497,0.2086,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.008378.txt
TYK2,randomforest,2137,100,0.9241,0.6935,0.4139,"{'max_depth': None, 'n_estimators': 100}",regression_randomforest_seed-2137_size-0.016756.txt
TYK2,randomforest,2137,500,0.796,0.5926,0.5651,"{'max_depth': None, 'n_estimators': 300}",regression_randomforest_seed-2137_size-0.08378.txt
TYK2,svm,42,10,1.1844,1.0101,0.0707,"{'C': 1, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.001676.txt
TYK2,svm,42,20,1.1167,0.8999,0.1739,"{'C': 0.1, 'kernel': 'linear'}",regression_svm_seed-42_size-0.003351.txt
TYK2,svm,42,50,1.0094,0.8033,0.3251,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.008378.txt
TYK2,svm,42,100,0.952,0.7619,0.3997,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.016756.txt
TYK2,svm,42,500,0.8294,0.6366,0.5444,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-42_size-0.08378.txt
TYK2,svm,123,10,1.1224,0.8971,0.1532,"{'C': 0.1, 'kernel': 'linear'}",regression_svm_seed-123_size-0.001676.txt
TYK2,svm,123,20,1.1308,0.9007,0.1404,"{'C': 0.1, 'kernel': 'linear'}",regression_svm_seed-123_size-0.003351.txt
TYK2,svm,123,50,0.9977,0.8176,0.3309,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.008378.txt
TYK2,svm,123,100,1.0142,0.801,0.3087,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.016756.txt
TYK2,svm,123,500,0.7847,0.6054,0.5861,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-123_size-0.08378.txt
TYK2,svm,2137,10,1.3436,1.1284,-0.239,"{'C': 0.1, 'kernel': 'linear'}",regression_svm_seed-2137_size-0.001676.txt
TYK2,svm,2137,20,0.9707,0.7729,0.3532,"{'C': 0.1, 'kernel': 'linear'}",regression_svm_seed-2137_size-0.003351.txt
TYK2,svm,2137,50,1.007,0.7847,0.304,"{'C': 1, 'kernel': 'linear'}",regression_svm_seed-2137_size-0.008378.txt
TYK2,svm,2137,100,0.9486,0.714,0.3824,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.016756.txt
TYK2,svm,2137,500,0.7783,0.5906,0.5842,"{'C': 10, 'kernel': 'rbf'}",regression_svm_seed-2137_size-0.08378.txt
TYK2,xgboost,42,10,1.1853,1.0016,0.0694,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.001676.txt
TYK2,xgboost,42,20,1.0904,0.8397,0.2124,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 300}",regression_xgboost_seed-42_size-0.003351.txt
TYK2,xgboost,42,50,1.0584,0.8156,0.258,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",regression_xgboost_seed-42_size-0.008378.txt
TYK2,xgboost,42,100,1.0014,0.7944,0.3357,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",regression_xgboost_seed-42_size-0.016756.txt
TYK2,xgboost,42,500,0.8769,0.6486,0.4906,"{'learning_rate': 0.1, 'max_depth': 8, 'n_estimators': 100}",regression_xgboost_seed-42_size-0.08378.txt
TYK2,xgboost,123,10,1.3965,1.1372,-0.3109,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.001676.txt
TYK2,xgboost,123,20,1.1472,0.9199,0.1154,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300}",regression_xgboost_seed-123_size-0.003351.txt
TYK2,xgboost,123,50,1.0914,0.8841,0.1994,"{'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100}",regression_xgboost_seed-123_size-0.008378.txt
TYK2,xgboost,123,100,1.0567,0.818,0.2495,"{'learning_rate': 0.01, 'max_depth': 8, 'n_estimators': 300}",regression_xgboost_seed-123_size-0.016756.txt
