"timestamp","feature","model","task","seed","size","status","seconds","output_file"
"2026-06-02 03:41:32","filtered_gnn","xgboost","classification","42","50","ok","1.0","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-42_size-0.008378.txt"
"2026-06-02 09:06:10","filtered_gnn","xgboost","classification","42","100","ok","2.8","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-42_size-0.016756.txt"
"2026-06-02 09:07:59","filtered_gnn","xgboost","classification","42","500","ok","8.3","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-42_size-0.08378.txt"
"2026-06-02 09:34:28","filtered_gnn","xgboost","classification","123","10","ok","1.1","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-123_size-0.001676.txt"
"2026-06-02 09:35:01","filtered_gnn","xgboost","classification","123","20","ok","0.9","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-123_size-0.003351.txt"
"2026-06-02 09:36:26","filtered_gnn","xgboost","classification","123","50","ok","0.6","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-123_size-0.008378.txt"
"2026-06-02 09:37:21","filtered_gnn","xgboost","classification","123","100","ok","1.5","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-123_size-0.016756.txt"
"2026-06-02 09:39:41","filtered_gnn","xgboost","classification","123","500","ok","8.6","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-123_size-0.08378.txt"
"2026-06-02 14:04:39","filtered_gnn","xgboost","classification","2137","10","ok","1.2","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-2137_size-0.001676.txt"
"2026-06-02 14:05:03","filtered_gnn","xgboost","classification","2137","20","ok","0.4","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-2137_size-0.003351.txt"
"2026-06-02 14:06:19","filtered_gnn","xgboost","classification","2137","50","ok","0.6","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-2137_size-0.008378.txt"
"2026-06-02 14:06:53","filtered_gnn","xgboost","classification","2137","100","ok","1.1","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-2137_size-0.016756.txt"
"2026-06-02 14:08:52","filtered_gnn","xgboost","classification","2137","500","ok","7.0","results/downstream_classification_filtered_gnn/TYK2/classification_xgboost_seed-2137_size-0.08378.txt"
"2026-06-02 03:39:26","filtered_gnn","xgboost","regression","42","10","ok","0.7","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-42_size-0.001676.txt"
"2026-06-02 03:40:38","filtered_gnn","xgboost","regression","42","20","ok","0.6","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-42_size-0.003351.txt"
"2026-06-02 03:41:33","filtered_gnn","xgboost","regression","42","50","ok","1.4","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-42_size-0.008378.txt"
"2026-06-02 09:06:14","filtered_gnn","xgboost","regression","42","100","ok","4.2","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-42_size-0.016756.txt"
"2026-06-02 09:08:22","filtered_gnn","xgboost","regression","42","500","ok","22.4","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-42_size-0.08378.txt"
"2026-06-02 09:34:28","filtered_gnn","xgboost","regression","123","10","ok","0.8","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-123_size-0.001676.txt"
"2026-06-02 09:35:04","filtered_gnn","xgboost","regression","123","20","ok","2.9","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-123_size-0.003351.txt"
"2026-06-02 09:36:27","filtered_gnn","xgboost","regression","123","50","ok","1.4","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-123_size-0.008378.txt"
"2026-06-02 09:37:25","filtered_gnn","xgboost","regression","123","100","ok","4.1","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-123_size-0.016756.txt"
"2026-06-02 09:40:00","filtered_gnn","xgboost","regression","123","500","ok","18.9","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-123_size-0.08378.txt"
"2026-06-02 14:04:40","filtered_gnn","xgboost","regression","2137","10","ok","0.9","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-2137_size-0.001676.txt"
"2026-06-02 14:05:04","filtered_gnn","xgboost","regression","2137","20","ok","0.6","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-2137_size-0.003351.txt"
"2026-06-02 14:06:20","filtered_gnn","xgboost","regression","2137","50","ok","1.3","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-2137_size-0.008378.txt"
"2026-06-02 14:06:57","filtered_gnn","xgboost","regression","2137","100","ok","4.0","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-2137_size-0.016756.txt"
"2026-06-02 14:09:10","filtered_gnn","xgboost","regression","2137","500","ok","17.9","results/downstream_regression_filtered_gnn/TYK2/regression_xgboost_seed-2137_size-0.08378.txt"
"2026-06-01 22:50:27","fingerprint","mlp","classification","42","10","ok","50.6","results/downstream_classification/TYK2/classification_mlp_seed-42_size-0.001676.txt"
"2026-06-01 22:53:31","fingerprint","mlp","classification","42","20","ok","34.5","results/downstream_classification/TYK2/classification_mlp_seed-42_size-0.003351.txt"
"2026-06-01 23:01:01","fingerprint","mlp","classification","42","50","ok","328.5","results/downstream_classification/TYK2/classification_mlp_seed-42_size-0.008378.txt"
"2026-06-01 23:09:06","fingerprint","mlp","classification","42","100","ok","325.7","results/downstream_classification/TYK2/classification_mlp_seed-42_size-0.016756.txt"
"2026-06-01 23:18:58","fingerprint","mlp","classification","42","500","ok","227.8","results/downstream_classification/TYK2/classification_mlp_seed-42_size-0.08378.txt"
"2026-06-01 23:35:25","fingerprint","mlp","classification","123","10","ok","47.8","results/downstream_classification/TYK2/classification_mlp_seed-123_size-0.001676.txt"
"2026-06-01 23:41:00","fingerprint","mlp","classification","123","20","ok","180.9","results/downstream_classification/TYK2/classification_mlp_seed-123_size-0.003351.txt"
"2026-06-01 23:47:11","fingerprint","mlp","classification","123","50","ok","250.6","results/downstream_classification/TYK2/classification_mlp_seed-123_size-0.008378.txt"
"2026-06-01 23:53:40","fingerprint","mlp","classification","123","100","ok","231.4","results/downstream_classification/TYK2/classification_mlp_seed-123_size-0.016756.txt"
"2026-06-02 00:08:13","fingerprint","mlp","classification","123","500","ok","495.2","results/downstream_classification/TYK2/classification_mlp_seed-123_size-0.08378.txt"
"2026-06-02 00:21:17","fingerprint","mlp","classification","2137","10","ok","214.6","results/downstream_classification/TYK2/classification_mlp_seed-2137_size-0.001676.txt"
"2026-06-02 00:24:08","fingerprint","mlp","classification","2137","20","ok","44.4","results/downstream_classification/TYK2/classification_mlp_seed-2137_size-0.003351.txt"
"2026-06-02 00:30:18","fingerprint","mlp","classification","2137","50","ok","213.6","results/downstream_classification/TYK2/classification_mlp_seed-2137_size-0.008378.txt"
"2026-06-02 00:37:29","fingerprint","mlp","classification","2137","100","ok","217.4","results/downstream_classification/TYK2/classification_mlp_seed-2137_size-0.016756.txt"
"2026-06-02 00:50:32","fingerprint","mlp","classification","2137","500","ok","169.3","results/downstream_classification/TYK2/classification_mlp_seed-2137_size-0.08378.txt"
"2026-06-01 22:52:13","fingerprint","mlp","regression","42","10","ok","106.4","results/downstream_regression/TYK2/regression_mlp_seed-42_size-0.001676.txt"
"2026-06-01 22:54:59","fingerprint","mlp","regression","42","20","ok","87.9","results/downstream_regression/TYK2/regression_mlp_seed-42_size-0.003351.txt"
"2026-06-01 23:02:46","fingerprint","mlp","regression","42","50","ok","104.6","results/downstream_regression/TYK2/regression_mlp_seed-42_size-0.008378.txt"
"2026-06-01 23:13:51","fingerprint","mlp","regression","42","100","ok","284.4","results/downstream_regression/TYK2/regression_mlp_seed-42_size-0.016756.txt"
"2026-06-01 23:33:58","fingerprint","mlp","regression","42","500","ok","473.2","results/downstream_regression/TYK2/regression_mlp_seed-42_size-0.08378.txt"
"2026-06-01 23:37:22","fingerprint","mlp","regression","123","10","ok","116.7","results/downstream_regression/TYK2/regression_mlp_seed-123_size-0.001676.txt"
"2026-06-01 23:42:35","fingerprint","mlp","regression","123","20","ok","94.7","results/downstream_regression/TYK2/regression_mlp_seed-123_size-0.003351.txt"
"2026-06-01 23:49:12","fingerprint","mlp","regression","123","50","ok","121.3","results/downstream_regression/TYK2/regression_mlp_seed-123_size-0.008378.txt"
"2026-06-01 23:58:04","fingerprint","mlp","regression","123","100","ok","264.7","results/downstream_regression/TYK2/regression_mlp_seed-123_size-0.016756.txt"
"2026-06-02 00:17:10","fingerprint","mlp","regression","123","500","ok","536.4","results/downstream_regression/TYK2/regression_mlp_seed-123_size-0.08378.txt"
"2026-06-02 00:22:52","fingerprint","mlp","regression","2137","10","ok","95.4","results/downstream_regression/TYK2/regression_mlp_seed-2137_size-0.001676.txt"
"2026-06-02 00:25:49","fingerprint","mlp","regression","2137","20","ok","101.6","results/downstream_regression/TYK2/regression_mlp_seed-2137_size-0.003351.txt"
"2026-06-02 00:33:14","fingerprint","mlp","regression","2137","50","ok","176.4","results/downstream_regression/TYK2/regression_mlp_seed-2137_size-0.008378.txt"
